"objectid","beat","div","serv","name"
"3","935","9","930","NORTH CITY"
"7","0","0","0","SAN DIEGO"
"8","511","5","510"," "
"9","722","7","720","NESTOR"
"10","314","3","310","BIRDLAND"
"11","839","8","830","CHEROKEE POINT"
"12","612","6","610","LOMA PORTAL"
"13","625","6","620","OLD TOWN"
"14","714","7","710","BORDER"
"17","832","8","830","TERALTA WEST"
"30","628","6","620","MIDTOWN"
"31","121","1","120","MISSION BEACH"
"34","624","6","620","UNIVERSITY HEIGHTS"
"38","123","1","120","MISSION BAY "
"39","444","4","440","MT HOPE"
"40","824","8","820","TALMADGE"
"41","114","1","110","NORTH CLAIREMONT"
"42","838","8","830","CORRIDOR"
"43","112","1","110","CLAIREMONT MESA WEST"
"44","529","5","520","PARK WEST"
"45","621","6","620","LINDA VISTA"
"47","311","3","310","SERRA MESA"
"49","825","8","820","KENSINGTON"
"50","246","2","240","MIRAMAR RANCH NORTH"
"58","9","0","0","SAN DIEGO"
"59","439","4","430","ALTA VISTA"
"62","614","6","610","OCEAN BEACH"
"63","526","5","520","CORTEZ"
"65","443","4","440","SHELLTOWN"
"66","931","9","930","SORRENTO VALLEY"
"68","828","8","820","FOX CANYON"
"69","452","4","430","O'FARRELL"
"75","523","5","520","GASLAMP"
"81","517","5","510","GOLDEN HILL"
"85","115","1","110","UNIVERSITY CITY"
"89","531","5","530","BALBOA PARK"
"109","316","3","310","QUALCOMM"
"122","723","7","720","OTAY MESA WEST"
"126","436","4","430","SKYLINE"
"135","231","2","230","SABRE SPRINGS"
"136","245","2","240","RANCHO ENCANTADA"
"137","9","0","0","SAN DIEGO"
"152","113","1","110","BAY HO"
"158","111","1","110","CLAIREMONT MESA EAST"
"161","827","8","820","CHOLLAS CREEK"
"162","618","6","610","SUNSET CLIFFS"
"164","433","4","430","ENCANTO"
"171","525","5","520","HORTON PLAZA"
"173","123","1","120","MISSION BAY "
"175","616","6","610","LA PLAYA"
"177","315","3","310","MISSION VALLEY EAST"
"179","829","8","820","ISLENAIR"
"180","445","4","440","CHOLLAS VIEW"
"183","518","5","510","SOUTH PARK"
"194","512","5","510","LOGAN HEIGHTS"
"204","626","6","620","MISSION HILLS"
"205","123","1","120","MISSION BAY "
"206","826","8","820","COLINA DEL SOL"
"207","431","4","430","EMERALD HILLS"
"208","446","4","440","LINCOLN PARK"
"221","122","1","120","PACIFIC BEACH"
"224","613","6","610","POINT LOMA HEIGHTS"
"250","9","0","0","SAN DIEGO"
"265","811","8","810","NORMAL HEIGHTS"
"272","232","2","230","CARMEL MOUNTAIN"
"280","831","8","830","TERALTA EAST"
"298","437","4","430","BAY TERRACES"
"309","837","8","830","FAIRMOUNT PARK"
"314","516","5","510","STOCKTON"
"316","813","8","810","NORTH PARK"
"321","724","7","720","PALM CITY"
"326","515","5","510","GRANT HILL"
"337","447","4","440","RIDGEVIEW/WEBSTER"
"341","617","6","610","WOODED AREA"
"352","814","8","810","ADAMS NORTH"
"354","712","7","710","SAN YSIDRO"
"355","627","6","620","HILLCREST"
"356","623","6","620","MISSION VALLEY WEST"
"357","514","5","510","SHERMAN HEIGHTS"
"367","434","4","430","JAMACHA LOMITA"
"373","322","3","320","ALLIED GARDENS"
"375","812","8","810","BURLINGAME"
"377","836","8","830","SWAN CANYON"
"378","441","4","440","MOUNTAIN VIEW"
"384","435","4","430","BROADWAY HEIGHTS"
"385","622","6","620","MORENA"
"393","116","1","110","BAY PARK"
"396","524","5","520","CORE-COLUMBIA"
"412","932","9","930","TORREY PRESERVE"
"418","835","8","830","AZALEA/HOLLYWOOD PARK"
"420","436","4","430","SKYLINE"
"421","521","5","520","EAST VILLAGE"
"427","321","3","320","GRANTVILLE"
"429","833","8","830","FAIRMOUNT VILLAGE"
"435","541","5","520","PETCO PARK"
"438","326","3","320","COLLEGE WEST"
"440","432","4","430","VALENCIA PARK"
"441","442","4","440","SOUTHCREST"
"442","123","1","120","MISSION BAY "
"444","438","4","430","PARADISE HILLS"
"445","615","6","610","ROSEVILLE / FLEET RIDGE"
"446","822","8","820","EL CERRITO"
"447","451","4","430","OAK PARK"
"448","823","8","820","REDWOOD VILLAGE"
"449","834","8","830","CASTLE"
"453","528","5","520","LITTLE ITALY"
"465","713","7","710","OTAY MESA"
"466","725","7","720","OCEAN CREST"
"486","324","3","320","LAKE MURRAY"
"489","821","8","820","ROLANDO"
"490","325","3","320","SAN CARLOS"
"492","327","3","320","COLLEGE EAST"
"493","323","3","320","DEL CERRO"
"515","721","7","720","EGGER HIGHLANDS"
"522","611","6","610","MIDWAY DISTRICT"
"524","511","5","510","BARRIO LOGAN"
"526","242","2","240","MIRA MESA"
"527","933","9","930","DEL MAR HEIGHTS"
"533","313","3","310","KEARNY MESA"
"535","934","9","930","CARMEL VALLEY"
"548","527","5","520","HARBORVIEW"
"552","522","5","520","MARINA"
"561","124","1","120","LA JOLLA"
"579","234","2","230","RANCHO BERNARDO"
"585","241","2","240","SCRIPPS RANCH"
"587","312","3","310","TIERRASANTA"
"589","126","1","120","TORREY PINES"
"595","243","2","240","MIRAMAR"
"601","937","9","930","BLACK MOUNTAIN RANCH"
"602","936","9","930","TORREY HIGHLANDS"
"603","233","2","230","RANCHO PENASQUITOS"
"604","235","2","230","SAN PASQUAL"
"630","711","7","710","TIJUANA RIVER VALLEY"
